term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001775,"cell activation",0.171%, 1.594, 2.861,4.341,-18.4597,0.902,0.000,1775,0
GO:0002376,"immune system process",0.600%, 5.464,-1.545,4.886,-20.1186,0.994,0.000,2376,0
GO:0016192,"vesicle-mediated transport",1.085%,-0.407, 5.279,5.144,-16.1720,0.948,0.000,16192,0
GO:0032501,"multicellular organismal process",2.373%, 4.332,-1.174,5.483,-5.6421,0.994,0.000,32501,0
GO:0032502,"developmental process",2.812%, 4.660, 1.824,5.557,-9.4425,0.994,0.000,32502,0
GO:0040011,"locomotion",0.997%, 3.678, 1.197,5.107,-4.8416,0.994,0.000,40011,0
GO:0048518,"positive regulation of biological process",1.744%,-6.574,-4.238,5.350,-22.0155,0.648,0.000,48518,0
GO:0050896,"response to stimulus",12.210%, 5.940,-0.620,6.195,-8.5003,0.995,0.000,50896,0
GO:0051179,"localization",18.495%, 2.561, 1.115,6.375,-5.8996,0.995,0.000,51179,0
GO:0065007,"biological regulation",20.498%, 5.401, 0.782,6.420,-21.8356,0.995,0.000,65007,0
GO:0071216,"cellular response to biotic stimulus",0.036%, 1.771,-7.057,3.667,-4.8570,0.831,0.023,71216,0
GO:0018105,"peptidyl-serine phosphorylation",0.087%,-5.289, 5.006,4.049,-5.7144,0.854,0.024,18105,0
GO:0018209,"peptidyl-serine modification",0.093%,null,null,4.078,-4.7986,0.877,0.591,18105,1
GO:0018205,"peptidyl-lysine modification",0.355%,null,null,4.658,-4.1325,0.864,0.656,18105,1
GO:0043412,"macromolecule modification",9.785%,-4.248, 4.928,6.099,-5.5784,0.930,0.120,43412,0
GO:0002274,"myeloid leukocyte activation",0.033%, 3.146, 3.395,3.622,-19.8477,0.774,0.130,2274,0
GO:0030334,"regulation of cell migration",0.144%,null,null,4.267,-6.3625,0.605,0.806,2274,1
GO:0030335,"positive regulation of cell migration",0.076%,null,null,3.988,-5.7167,0.492,0.942,2274,1
GO:0050900,"leukocyte migration",0.060%,null,null,3.890,-4.9788,0.719,0.834,2274,1
GO:0050865,"regulation of cell activation",0.092%,null,null,4.071,-4.7986,0.659,0.940,2274,1
GO:0051272,"positive regulation of cellular component movement",0.081%,null,null,4.015,-5.6162,0.505,0.932,2274,1
GO:0045321,"leukocyte activation",0.145%,null,null,4.269,-16.6308,0.753,0.873,2274,1
GO:0002521,"leukocyte differentiation",0.095%,null,null,4.085,-4.6459,0.664,0.767,2274,1
GO:1903708,"positive regulation of hemopoiesis",0.032%,null,null,3.614,-4.6676,0.434,0.935,2274,1
GO:0010632,"regulation of epithelial cell migration",0.036%,null,null,3.665,-4.0000,0.577,0.893,2274,1
GO:0006887,"exocytosis",0.210%,null,null,4.430,-13.4828,0.857,0.865,2274,1
GO:2000145,"regulation of cell motility",0.154%,null,null,4.296,-6.8386,0.607,0.979,2274,1
GO:2000147,"positive regulation of cell motility",0.078%,null,null,4.000,-5.8153,0.494,0.992,2274,1
GO:0042119,"neutrophil activation",0.009%,null,null,3.056,-16.0097,0.784,0.752,2274,1
GO:0050778,"positive regulation of immune response",0.112%,null,null,4.159,-7.4815,0.397,0.933,2274,1
GO:1902107,"positive regulation of leukocyte differentiation",0.025%,null,null,3.515,-5.1884,0.429,0.921,2274,1
GO:0042116,"macrophage activation",0.010%,null,null,3.102,-5.8041,0.784,0.868,2274,1
GO:1902105,"regulation of leukocyte differentiation",0.047%,null,null,3.782,-5.0921,0.505,0.872,2274,1
GO:0050776,"regulation of immune response",0.150%,null,null,4.283,-9.0595,0.488,0.925,2274,1
GO:0032940,"secretion by cell",0.763%,null,null,4.991,-12.2958,0.850,0.695,2274,1
GO:0050727,"regulation of inflammatory response",0.051%,null,null,3.814,-8.3372,0.568,0.844,2274,1
GO:0050729,"positive regulation of inflammatory response",0.016%,null,null,3.306,-4.1415,0.497,0.869,2274,1
GO:0031349,"positive regulation of defense response",0.066%,null,null,3.926,-5.2700,0.474,0.888,2274,1
GO:0002366,"leukocyte activation involved in immune response",0.042%,null,null,3.732,-15.6091,0.684,0.889,2274,1
GO:0034142,"toll-like receptor 4 signaling pathway",0.006%,null,null,2.892,-4.5935,0.464,0.904,2274,1
GO:0097529,"myeloid leukocyte migration",0.033%,null,null,3.629,-4.4763,0.725,0.931,2274,1
GO:0002684,"positive regulation of immune system process",0.165%,null,null,4.327,-10.7305,0.461,0.801,2274,1
GO:0002683,"negative regulation of immune system process",0.080%,null,null,4.012,-4.5058,0.547,0.882,2274,1
GO:0002682,"regulation of immune system process",0.252%,null,null,4.510,-11.0894,0.579,0.829,2274,1
GO:0002221,"pattern recognition receptor signaling pathway",0.030%,null,null,3.591,-10.2190,0.418,0.823,2274,1
GO:0002224,"toll-like receptor signaling pathway",0.023%,null,null,3.464,-8.5143,0.427,0.977,2274,1
GO:1990266,"neutrophil migration",0.017%,null,null,3.328,-4.0410,0.735,0.977,2274,1
GO:0002218,"activation of innate immune response",0.037%,null,null,3.675,-5.7144,0.425,0.951,2274,1
GO:0002694,"regulation of leukocyte activation",0.086%,null,null,4.045,-4.9626,0.572,0.936,2274,1
GO:0042330,"taxis",0.480%,null,null,4.789,-4.7825,0.761,0.854,2274,1
GO:0045088,"regulation of innate immune response",0.065%,null,null,3.921,-4.1911,0.503,0.903,2274,1
GO:0002253,"activation of immune response",0.079%,null,null,4.008,-8.8570,0.408,0.901,2274,1
GO:0045089,"positive regulation of innate immune response",0.049%,null,null,3.802,-4.5031,0.416,0.934,2274,1
GO:0002252,"immune effector process",0.185%,null,null,4.375,-12.2255,0.830,0.710,2274,1
