term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",0.600%, 5.305, 1.689,4.886,-16.8697,0.986,0.000,2376,0
GO:0050896,"response to stimulus",12.210%,-2.330,-6.479,6.195,-12.0665,0.987,0.000,50896,0
GO:0051704,"multi-organism process",0.751%, 1.342,-4.629,4.984,-18.7423,0.986,0.000,51704,0
GO:0051707,"response to other organism",0.299%,-7.026,-1.073,4.584,-32.0711,0.637,0.000,51707,0
GO:0043207,"response to external biotic stimulus",0.300%,null,null,4.585,-28.5498,0.639,0.974,51707,1
GO:0098586,"cellular response to virus",0.013%,null,null,3.236,-4.8601,0.692,0.787,51707,1
GO:0002230,"positive regulation of defense response to virus by host",0.004%,null,null,2.750,-4.4572,0.371,0.871,51707,1
GO:0050830,"defense response to Gram-positive bacterium",0.013%,null,null,3.228,-3.2434,0.630,0.786,51707,1
GO:0051607,"defense response to virus",0.098%,null,null,4.098,-34.3002,0.392,0.909,51707,1
GO:0009617,"response to bacterium",0.145%,null,null,4.271,-9.3107,0.653,0.938,51707,1
GO:0009615,"response to virus",0.117%,null,null,4.175,-29.5702,0.657,0.922,51707,1
GO:0002831,"regulation of response to biotic stimulus",0.038%,null,null,3.683,-5.6402,0.497,0.826,51707,1
GO:0050688,"regulation of defense response to virus",0.019%,null,null,3.379,-7.7399,0.332,0.805,51707,1
GO:0098542,"defense response to other organism",0.220%,null,null,4.450,-29.3615,0.569,0.971,51707,1
GO:0050691,"regulation of defense response to virus by host",0.006%,null,null,2.909,-5.7423,0.362,0.864,51707,1
GO:1903901,"negative regulation of viral life cycle",0.015%,-1.182, 4.101,3.280,-18.2612,0.637,0.000,1903901,0
GO:0048525,"negative regulation of viral process",0.015%,null,null,3.291,-17.6576,0.639,0.911,1903901,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",0.039%,null,null,3.701,-13.0334,0.656,0.903,1903901,1
GO:0043901,"negative regulation of multi-organism process",0.035%,null,null,3.656,-13.6840,0.645,0.851,1903901,1
GO:1903900,"regulation of viral life cycle",0.030%,null,null,3.590,-15.8447,0.646,0.950,1903901,1
GO:0046596,"regulation of viral entry into host cell",0.005%,null,null,2.820,-3.2396,0.674,0.867,1903901,1
GO:0043900,"regulation of multi-organism process",0.079%,null,null,4.008,-15.8069,0.684,0.609,1903901,1
GO:0051708,"intracellular protein transport in other organism involved in symbiotic interaction",0.001%,null,null,2.000,-3.2069,0.849,0.619,1903901,1
GO:0016032,"viral process",0.131%,null,null,4.226,-4.1959,0.798,0.825,1903901,1
GO:0044419,"interspecies interaction between organisms",0.262%,null,null,4.526,-3.7033,0.840,0.742,1903901,1
GO:0019060,"intracellular transport of viral protein in host cell",0.001%,null,null,1.991,-3.2069,0.692,0.778,1903901,1
GO:0045069,"regulation of viral genome replication",0.014%,null,null,3.267,-12.3143,0.658,0.917,1903901,1
GO:0045071,"negative regulation of viral genome replication",0.008%,null,null,3.007,-15.5867,0.648,0.963,1903901,1
GO:0050792,"regulation of viral process",0.033%,null,null,3.624,-13.7932,0.646,0.973,1903901,1
GO:1902187,"negative regulation of viral release from host cell",0.003%,null,null,2.579,-3.7932,0.663,0.913,1903901,1
GO:0044403,"symbiosis, encompassing mutualism through parasitism",0.168%,null,null,4.335,-4.1959,0.820,0.911,1903901,1
GO:0030581,"symbiont intracellular protein transport in host",0.001%,null,null,2.000,-3.2069,0.840,0.999,1903901,1
GO:0006471,"protein ADP-ribosylation",0.019%, 3.384,-0.947,3.391,-6.0070,0.898,0.019,6471,0
GO:0070212,"protein poly-ADP-ribosylation",0.001%,null,null,1.968,-4.6073,0.907,0.562,6471,1
GO:0070213,"protein auto-ADP-ribosylation",0.001%,null,null,2.009,-3.9586,0.907,0.725,6471,1
GO:0046967,"cytosol to ER transport",0.001%, 0.050,-6.125,1.820,-3.2069,0.941,0.039,46967,0
GO:0060700,"regulation of ribonuclease activity",0.005%,-5.062, 6.690,2.768,-4.3615,0.793,0.144,60700,0
GO:0052548,"regulation of endopeptidase activity",0.188%,null,null,4.382,-3.0004,0.744,0.580,60700,1
GO:0032479,"regulation of type I interferon production",0.014%,-0.921, 6.418,3.243,-5.9508,0.761,0.149,32479,0
GO:0001817,"regulation of cytokine production",0.108%,null,null,4.141,-3.9830,0.736,0.854,32479,1
GO:0032731,"positive regulation of interleukin-1 beta production",0.004%,null,null,2.717,-3.1349,0.692,0.718,32479,1
GO:0032480,"negative regulation of type I interferon production",0.004%,null,null,2.671,-5.1085,0.743,0.928,32479,1
GO:0051770,"positive regulation of nitric-oxide synthase biosynthetic process",0.001%,-3.443, 7.146,2.276,-3.6421,0.722,0.179,51770,0
GO:0051769,"regulation of nitric-oxide synthase biosynthetic process",0.002%,null,null,2.441,-3.1537,0.800,0.983,51770,1
GO:0032020,"ISG15-protein conjugation",0.001%, 3.703,-2.644,2.124,-3.5346,0.950,0.236,32020,0
GO:0060337,"type I interferon signaling pathway",0.007%,-5.106,-0.167,2.943,-24.4815,0.352,0.240,60337,0
GO:0050671,"positive regulation of lymphocyte proliferation",0.023%,null,null,3.473,-3.1918,0.364,0.970,60337,1
GO:0050670,"regulation of lymphocyte proliferation",0.037%,null,null,3.675,-3.6216,0.388,0.961,60337,1
GO:0023056,"positive regulation of signaling",0.356%,null,null,4.660,-3.9508,0.583,0.815,60337,1
