gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000187608,ISG15,4,0.25028562669406174,3.577694196303564,0.8576521517697988,0.2918265011958374,0.1881670808855164,1.3841357041396565e-263,5.89079850867613e-258,Myelomonocytic 2
ENSG00000074800,ENO1,10,0.18002464995411313,3.390095925103438,0.8747099767981439,0.2058106740854715,0.13895624218168268,1.6858278139842514e-75,7.174782026648136e-70,ENO1+
ENSG00000173372,C1QA,6,0.5354274039641792,8.153080033133483,0.8507783145464305,0.6293383303377071,0.41562331035350647,0,0,CD16+ Monocytic
ENSG00000159189,C1QC,6,0.37429545111543006,1.6502645756954597,0.5120772946859904,0.7309354564235284,0.1947911910733777,1.0731441792056926e-240,4.567237238048675e-235,CD16+ Monocytic
ENSG00000173369,C1QB,6,0.3517693096585323,4.322034796013275,0.5394524959742351,0.6520857949192496,0.18947677156774662,3.742861616328301e-234,1.592939446739627e-228,CD16+ Monocytic
ENSG00000117632,STMN1,9,0.18710867797273553,1.1722358320601565,0.6958620689655173,0.26888759470809365,0.18935752583453372,3.5454596349046e-130,1.5089263478575884e-124,GATA2+ SOX4+
ENSG00000169442,CD52,2,0.17531319465178946,5.417261503644354,0.914997245817992,0.19159969655981035,0.09006995040642334,5.852042475443841e-162,2.4905941652940464e-156,T
ENSG00000169442,CD52,8,0.23409078020981608,7.3537421899950495,0.9696969696969697,0.24140611709137283,0.3087202083877156,2.267165744922919e-200,9.648921380447248e-195,B
ENSG00000126709,IFI6,4,0.2349628394011778,2.8514423483061355,0.8482302011713776,0.27700362363507214,0.2143884738667517,2.9431912056546617e-300,1.2526045179793901e-294,Myelomonocytic 2
ENSG00000198520,C1orf228,10,0.18981415331955956,0.9633781968522402,0.5452436194895591,0.34812723438608584,0.17422457812090383,3.218611367140721e-94,1.3698216861868882e-88,ENO1+
ENSG00000117450,PRDX1,10,0.19731542788717954,3.050642038002653,0.8062645011600929,0.24472791199819965,0.1564558721391412,8.693945350548007e-85,3.700090977521129e-79,ENO1+
ENSG00000152760,TCTEX1D1,10,0.1644539240903088,0.39988342619953443,0.2691415313225058,0.6110313903700266,0.12577897578991143,1.6599342140633016e-68,7.064580419000568e-63,ENO1+
ENSG00000234184,RP5-887A10.1,8,0.15174770497425566,0.81483035452555,0.2595182595182595,0.584728432041518,0.09962673653026734,8.705047802925286e-66,3.704816114638184e-60,B
